id;sat_clave;sat_nombre;sat_descripcion;sat_fechainicio;sat_fechafin;sat_simbolo
1,388;C79;Kilovoltios horas amperios;Unidad de energía acumulada de 1000 amperios voltioios durante un período de una hora.;1/1/2017;1/1/2017;kVAh
1,389;C9;Grupo bobinas;Unidad de conteo que define el número de grupos de bobinas (grupo bobina: grupos de elementos dispuestos por longitudes de los objetos colocados en una secuencia de círculos concéntricos unido).;1/1/2017;1/1/2017;
1,390;CCT;Capacidad de carga en toneladas métricas;Unidad de masa que define la capacidad de carga, expresada como el número de toneladas métricas.;1/1/2017;1/1/2017;
1,391;CEN;Centenar;Una unidad de recuento de definir el número de unidades en múltiplos de 100.;1/1/2017;1/1/2017;
1,392;CG;Tarjeta;Unidad de conteo que define el número de unidades de la tarjeta (tarjeta: papel rígido grueso o cartón).;1/1/2017;1/1/2017;
1,393;CLF;Cientos de hojas;Una unidad de recuento de definir el número de hojas, expresado en unidades de cien hojas.;1/1/2017;1/1/2017;
1,394;CNP;Cientos de paquetes;Unidad de recuento para definir el número de cientos de paquetes (cien paquete: conjunto de un centenar de artículos empaquetados juntos).;1/1/2017;1/1/2017;
1,395;CNT;Cental (UK);Una unidad de masa igual a cien  kilos (EUA).;1/1/2017;1/1/2017;
1,396;CTG;Contenido en gramos;Unidad de masa que define el número de gramos de un elemento con nombre en un producto.;1/1/2017;1/1/2017;
1,397;CTM;Quilatage métrico;Es una unidad de masa igual a 200  mg y se utiliza para la medición de las piedras preciosas y perlas .;1/1/2017;1/1/2017;
1,398;CTN;Tonelada de contenido (métrica);Unidad de masa que define el número de toneladas métricas de un elemento con nombre en un producto.;1/1/2017;1/1/2017;
1,399;D03;Kilovatio hora por hora;Unidad de energía acumulada en mil vatios durante un período de una hora.;1/1/2017;1/1/2017;kW·h/h
1,400;D04;Lot [unidad de peso];Unidad de peso igual a aproximadamente media onza o 15 gramos.;1/1/2017;null;null
1,401;D11;Mebibit;Una unidad de información igual a 2²° (1048576) bits (dígitos binarios).;1/1/2017;1/1/2017;Mibit
1,402;D23;Gramo pluma (proteína);Unidad de recuento pata definir el número de gramos de aminoácidos  prescritos para la terapia parenteral y terapia enteral.;1/1/2017;1/1/2017;
1,403;D34;Tex;Enidad de medida utilizada para medir la densidad o la masa lineal de una fibra.;1/1/2017;null;tex (g/km)
1,404;D36;Megabit;unidad que se usa para cuantificar un caudal de datos equivalente a 1000 kb/s.;1/1/2017;null;Mbit
1,405;D63;Libro;Unidad de recuento para definir el número de libros (libro: conjunto de elementos unidos entre sí o documento de un material escrito).;1/1/2017;1/1/2017;
1,406;D65;Redondo;Unidad de recuento para definir el número de rondas (redondos: un objeto circular o cilíndrico).;1/1/2017;1/1/2017;
1,407;D68;Número de palabras;Unidad de recuento para definir el número de palabras.;1/1/2017;1/1/2017;
1,408;D78;Megajoule por segundo;Unidad de energía acumulada igual a un millón de julios por segundo.;1/1/2017;1/1/2017;MJ/s
1,409;DAD;Decena de días;Unidad de tiempo que define el número de días en múltiplos de 10.;1/1/2017;1/1/2017;
1,410;DB;Libra seca;Unidad de masa que define el número de libras de un producto, sin tener en cuenta el contenido de agua del producto.;1/1/2017;1/1/2017;
1,411;DEC;Década;Unidad de recuento de definir el número de décadas (década: cantidad igual a 10 o tiempo igual a 10 años).;1/1/2017;1/1/2017;
1,412;DMO;Kiloliter norma;Unidad de volumen que define el número de kilolitros de un producto a una temperatura de 15 grados centígrados, sobre todo en relación con los aceites de hidrocarburos.;1/1/2017;1/1/2017;
1,413;DPC;Docenas de piezas;Unidad de recuento para definir el número de piezas en múltiplos de 12 (pieza: un solo artículo, el artículo o ejemplar).;1/1/2017;1/1/2017;
1,414;DPR;Docenas de pares;Unidad de recuento de definir el número de pares en múltiplos de 12 (par: ítem descrito por dos de).;1/1/2017;1/1/2017;
1,415;DPT;Peso de desplazamiento;Unidad de masa que define el volumen de agua de mar de un barco desplaza, expresada como el número de toneladas.;1/1/2017;1/1/2017;
1,416;DRA;Dram (EUA);Sinónimo: dracma (Reino Unido), dram Troy;1/1/2017;1/1/2017;
1,417;DRI;Dram (UK);Son las siglas de la voz inglesa Dynamic Random Access Memory, que significa memoria dinámica de acceso aleatorio (o RAM dinámica), para denominar a un tipo de tecnología de memoria RAM basada en condensadores, los cuales pierden su carga progresivamente;1/1/2017;1/1/2017;
1,418;DRL;Docena de rodillos;Unidad de recuento de definir el número de rollos, expresado en doce unidades de rodillos.;1/1/2017;1/1/2017;
1,419;DT;Tonelada seca;Unidad de masa que define el número de toneladas de un producto, sin tener en cuenta el contenido de agua del producto.;1/1/2017;1/1/2017;
1,420;DWT;Pennyweight;La unidad obsoleta pennyweight era Unidad de masa utilizada en el Reino Unido antes de 1971. Se consideraba equivalente a la masa de un penique, y equivale a la 1/240 parte de una libra troy. Se abrevia pwt.;1/1/2017;null;null
1,421;DZN;Docena;Unidad de recuento de definir el número de unidades en múltiplos de 12.;1/1/2017;1/1/2017;DOZ
1,422;DZP;Docena de paquete;Unidad de conteo que define el número de paquetes en múltiplos de 12 (paquete: unidad de embalaje estándar).;1/1/2017;1/1/2017;
1,423;E07;Megawatt hora por hora;Unidad de energía acumulado de un millón de vatios durante un período de una hora.;1/1/2017;1/1/2017;MW·h/h
1,424;E08;Megavatios por hertz;Unidad de energía expresada como el cambio de carga en millones de watts que provocará un desplazamiento de frecuencia de un hertz.;1/1/2017;1/1/2017;MW/Hz
1,425;E10;Día de grado;Unidad de medida utilizada en la meteorología y la ingeniería para medir la demanda de calentamiento o enfriamiento durante un período determinado de días.;1/1/2017;1/1/2017;deg da
1,426;E12;Mille;Unidad de recuento de definir el número de cigarrillos en unidades de 1.000.;1/1/2017;1/1/2017;
1,427;E16;Millón de btu (ti) por hora;Unidad de potencia igual a un millón de unidades térmicas británicas por hora.;1/1/2017;1/1/2017;BtuIT/h
1,428;E17;Pie cúbico por segundo;Unidad de volumen igual a un pie cúbico pasa por un punto dado en un periodo de un segundo.;1/1/2017;1/1/2017;ft³/s
1,429;E19;Ping;Unidad de área equivalente a 3,3 metros cuadrados.;1/1/2017;1/1/2017;
1,430;E20;Megabit por segundo;Unidad de información igual a 10 6  (1000000) bits (dígitos binarios) por segundo.;1/1/2017;1/1/2017;Mbit/s
1,431;E21;Shares;Unidad de recuento para definir el número de acciones (proporción: un total o una parte de las partes en que se divide el capital de una entidad comercial).;1/1/2017;1/1/2017;
1,432;E22;Tue;Unidad de recuento para definir el número de unidades equivalentes a veinte pies (TEU) como una medida de la capacidad de carga en contenedores.;1/1/2017;1/1/2017;
1,433;E23;Neumático;Unidad de recuento de definir el número de neumáticos (una cubierta sólida o llena de aire colocado alrededor de una llanta de rueda para formar un contacto suave con la carretera, absorber los golpes y proporcionar tracción).;1/1/2017;1/1/2017;
1,434;E25;Unidad activa;Unidad de conteo que define el número de unidades activas dentro de una sustancia.;1/1/2017;1/1/2017;
1,435;E27;Dosis;Unidad de recuento de definir el número de dosis (dosis: una cantidad definida de un medicamento o fármaco).;1/1/2017;1/1/2017;
1,436;E28;Tonelada seca de aire;Unidad de masa que define el número de toneladas de un producto, sin tener en cuenta el contenido de agua del producto.;1/1/2017;1/1/2017;
1,437;E30;Hebra;Unidad de recuento de definir el número de hebras (hebra: de largo,, flexible, solo hilo delgado, tiras de fibra, filamento constituyente o múltiplos de la misma, trenzados entre sí).;1/1/2017;1/1/2017;
1,438;E31;Metro cuadrado por litro;Unidad de recuento de definir el número de metros cuadrados por litro.;1/1/2017;1/1/2017;m²/l
1,439;E32;Litros por hora;Unidad de recuento de definir el número de litros por hora.;1/1/2017;1/1/2017;l/h
1,440;E33;Por mil pies;Unidad de recuento de definir el número de pies por mil unidades.;1/1/2017;1/1/2017;
1,441;E34;Gigabyte;Unidad de información igual a 10^9 bytes.;1/1/2017;1/1/2017;Gbyte
1,442;E35;Terabyte;Unidad de información igual a 10¹² bytes.;1/1/2017;1/1/2017;Tbyte
1,443;E36;Petabyte;Unidad de información igual a 10^15 bytes.;1/1/2017;1/1/2017;Pbyte
1,444;E37;Pixel;Unidad de recuento de definir el número de píxeles (píxel: elemento de imagen).;1/1/2017;1/1/2017;
1,445;E38;Megapíxeles;Unidad de recuento igual a 10 $ 6 $ (1000000) píxeles (elementos de imagen).;1/1/2017;1/1/2017;
1,446;E39;Puntos por pulgada;Unidad de información que define el número de puntos por pulgada lineal como una medida de la resolución o nitidez de una imagen gráfica.;1/1/2017;1/1/2017;dpi
1,447;E4;Kilo bruto;Unidad de masa que define el número total de kilogramos antes de las deducciones.;1/1/2017;1/1/2017;
1,448;E40;Parte por cien mil;Unidad de proporción igual a 10?5.;1/1/2017;1/1/2017;ppht
1,449;E44;Metros kilogramo-fuerza por centímetro cuadrado;Unidad de torsión que define el medidor de par kilogramo-fuerza por centímetro cuadrado.;1/1/2017;1/1/2017;kgf·m/cm²
1,450;E46;Kilovatio hora por metro cúbico;Unidad de consumo de energía expresada como kilovatio hora por metro cúbico.;1/1/2017;1/1/2017;kW·h/m³
1,451;E47;Kilovatio hora por kelvin;Unidad de consumo de energía expresada como kilovatio hora por kelvin.;1/1/2017;1/1/2017;kW·h/K
1,452;E48;Unidad de servicio;Unidad de conteo que define el número de unidades de servicio (unidad de servicio: definido período / propiedad / centro / utilidad de alimentación).;1/1/2017;1/1/2017;
1,453;E49;Día de trabajo;Unidad de recuento de definir el número de días de trabajo (jornada de trabajo: un día en el que se lleva a cabo normalmente un trabajo).;1/1/2017;1/1/2017;
1,454;E50;Unidad de cuenta;Unidad de recuento de definir el número de unidades de contabilidad.;1/1/2017;1/1/2017;
1,455;E51;Trabajo;Unidad de recuento de definir el número de puestos de trabajo.;1/1/2017;1/1/2017;
1,456;E52;Run foot;Unidad de conteo para definir la distancia (en la unidad Pie) que se dan en una carrera).;1/1/2017;null;null
1,457;E53;Prueba;Unidad de recuento de definir el número de pruebas.;1/1/2017;1/1/2017;
1,458;E54;Viaje;Unidad de recuento de definir el número de viajes.;1/1/2017;1/1/2017;
1,459;E55;Utilizar;Unidad de recuento de definir el número de veces que se utiliza un objeto.;1/1/2017;1/1/2017;
1,460;E56;Bien;Unidad de recuento para definir el número de pozos.;1/1/2017;1/1/2017;
1,461;E57;Zona;Unidad de conteo que define el número de zonas.;1/1/2017;1/1/2017;
1,462;E58;Exabit por segundo;Unidad de información igual a 10^18 bits (dígitos binarios) por segundo.;1/1/2017;1/1/2017;Ebit/s
1,463;E59;Exbibyte;Unidad de información igual a 26° bytes.;1/1/2017;1/1/2017;Eibyte
1,464;E60;Pebibyte;Unidad de información igual a 25° bytes.;1/1/2017;1/1/2017;Pibyte
1,465;E61;Tebibyte;Unidad de información igual a 24° bytes.;1/1/2017;1/1/2017;Tibyte
1,466;E62;Gibibyte;Unidad de información igual a 2³° bytes.;1/1/2017;1/1/2017;Gibyte
1,467;E63;Mebibyte;Unidad de información igual a 2²° bytes.;1/1/2017;1/1/2017;Mibyte
1,468;E64;Kibibyte;Unidad de información igual a 2¹° bytes.;1/1/2017;1/1/2017;Kibyte
1,469;E65;Exbibit por metro;Unidad de información igual a 26° bits (dígitos binarios) por metro.;1/1/2017;1/1/2017;Eibit/m
1,470;E66;Exbibit por metro cuadrado;Unidad de información igual a 26° bits (dígitos binarios) por metro cuadrado.;1/1/2017;1/1/2017;Eibit/m²
1,471;E67;Exbibit por metro cúbico;Unidad de información igual a 26° bits (dígitos binarios) por metro cúbico.;1/1/2017;1/1/2017;Eibit/m³
1,472;E68;Gigabyte por segundo;Unidad de información igual a 10? bytes por segundo.;1/1/2017;1/1/2017;Gbyte/s
1,473;E69;Gibibit por metro;Unidad de información igual a 2³° bits (dígitos binarios) por metro.;1/1/2017;1/1/2017;Gibit/m
1,474;E70;Gibibit por metro cuadrado;Unidad de información igual a 2³° bits (dígitos binarios) por metro cuadrado.;1/1/2017;1/1/2017;Gibit/m²
1,475;E71;Gibibit por metro cúbico;Unidad de información igual a 2³° bits (dígitos binarios) por metro cúbico.;1/1/2017;1/1/2017;Gibit/m³
1,476;E72;Kibibit por metro;Unidad de información igual a 2¹° bits (dígitos binarios) por metro.;1/1/2017;1/1/2017;Kibit/m
1,477;E73;Kibibit por metro cuadrado;Unidad de información igual a 2¹° bits (dígitos binarios) por metro cuadrado.;1/1/2017;1/1/2017;Kibit/m²
1,478;E74;Kikibit por metro cúbico.; Unidad de información igual a 2¹° bits (dígitos binarios) por metro cúbico.;1/1/2017;1/1/2017;Kibit/m³
1,479;E75;Mebbit por metro.; Unidad de información igual a 2²° bits (dígitos binarios) por metro.;1/1/2017;1/1/2017;Mibit/m
1,480;E76;Mebbitt por metro cuadrado.; Unidad de información igual a 2²° bits (dígitos binarios) por metro cuadrado.;1/1/2017;1/1/2017;Mibit/m²
1,481;E77;Mebbit por metro cúbico. ; Unidad de información igual a 2²° bits (dígitos binarios) por metro cúbico.;1/1/2017;1/1/2017;Mibit/m³
1,482;E78;Petabit; Unidad de información igual a 10^15 los bits (dígitos binarios).;1/1/2017;1/1/2017;Pbit
1,483;E79;Pebibit por segundo.; Unidad de información igual a 10^15 bits (dígitos binarios) por segundo.;1/1/2017;1/1/2017;Pbit/s
1,484;E80;Pebibit por metro.;Unidad de información igual a 25° bits (dígitos binarios) por metro.;1/1/2017;1/1/2017;Pibit/m
1,485;E81;Pebibit por metro cuadrado.; Unidad de información igual a 25° bits (dígitos binarios) por metro cuadrado.;1/1/2017;1/1/2017;Pibit/m²
1,486;E82;Pebibit por metro cúbico.; Unidad de información igual a 25° bits (dígitos binarios) por metro cúbico.;1/1/2017;1/1/2017;Pibit/m³
1,487;E83;Tebibit.; Unidad de información igual a 10¹² los bits (dígitos binarios).;1/1/2017;1/1/2017;Tbit
1,488;E84;Tebibit por segundo; Unidad de información igual a 10¹² bits (dígitos binarios) por segundo.;1/1/2017;1/1/2017;Tbit/s
1,489;E85;Tebibit por metro.; Unidad de información igual a 24° bits (dígitos binarios) por metro.;1/1/2017;1/1/2017;Tibit/m
1,490;E86;Tebibit por metro cúbico.; Unidad de información igual a 24° bits (dígitos binarios) por metro cúbico.;1/1/2017;1/1/2017;Tibit/m³
1,491;E87;Tebibit por metro cuadrado; Unidad de información igual a 24° bits (dígitos binarios) por metro cuadrado.;1/1/2017;1/1/2017;Tibit/m²
1,492;E88;Bit por metro;Unidad de información igual a 1 bit (dígito binario) por metro.;1/1/2017;1/1/2017;bit/m
1,493;E89;Bit por metro cuadrado; Unidad de información igual a 1 bit (dígito binario) por metro cuadrado.;1/1/2017;1/1/2017;bit/m²
1,494;E90;Centímetro recíproco;;1/1/2017;1/1/2017;cm⁻¹
1,495;E91;Día recíproco;;1/1/2017;1/1/2017;d⁻¹
1,496;EA;Elemento;Unidad de conteo que define el número de elementos considerados como unidades separadas.;1/1/2017;1/1/2017;
1,497;EB;Casilla de correo electrónico;Es el destino al que correo electrónico se entregan los mensajes. Es el equivalente de un buzón en el sistema postal.;1/1/2017;1/1/2017;
1,498;EQ;Galón equivalente;Unidad de volumen que define el número de galones de producto producido a partir de concentrado.;1/1/2017;1/1/2017;
1,499;F01;Bit por metro cúbico;Unidad de información igual a 1 bit (dígito binario) por metro cúbico.;1/1/2017;1/1/2017;bit/m³
1,500;FBM;Medidor de fibra;Unidad de longitud que define el número de metros de fibra individual.;1/1/2017;1/1/2017;
1,501;FC;Mil pies cúbicos;Unidad de volumen igual a mil pies cúbicos.;1/1/2017;1/1/2017;kft³
1,502;FF;Cien metros cúbicos;Unidad de volumen igual a cien metros cúbicos.;1/1/2017;1/1/2017;
1,503;FIT;Fallas en el tiempo;Unidad de conteo que define el número de fallos que se pueden esperar en un intervalo de tiempo especificado. Las tasas de fallo de los componentes semiconductores se especifican a menudo como FIT (fallas en la unidad de tiempo) donde 1 FIT = 10?? / h.;1/1/2017;1/1/2017;FIT
1,504;FL;Flake ton;Unidad de masa que define el número de toneladas de una sustancia en copos (escamas: un pequeño fragmento plano).;1/1/2017;1/1/2017;
1,505;GB;Galón (EUA) por día;;1/1/2017;1/1/2017;gal (US)/d
1,506;GDW;Gramo, peso seco;Unidad de masa que define el número de gramos de un producto, sin tener en cuenta el contenido de agua del producto.;1/1/2017;1/1/2017;
1,507;GFI;Gramo de isótopo fisible;Unidad de masa que define el número de gramos de un isótopo fisible (isótopo fisible: un isótopo cuyo núcleo es capaz de ser dividido cuando se irradia con neutrones de baja energía).;1/1/2017;1/1/2017;gi F/S
1,508;GGR;Grandioso;Unidad de cuenta que define el número de unidades en múltiplos de 1728 (12 x 12 x 12).;1/1/2017;1/1/2017;
1,509;GIA;Gill (us);Es Unidad de volumen inglesa en el sistema imperial y en los Estados Unidos. La versión imperial usada en el UK es de 5 onzas líquidas, y es equivalente a 142,0653125 ml; mientras que en los EUA es de 4 onzas líquidas, y es equivalente a 118,29411825 ml.;1/1/2017;1/1/2017;gi (US)
1,510;GIC;Gramo, incluido el contenedor;Unidad de masa que define el número de gramos de un producto, incluyendo su recipiente.;1/1/2017;1/1/2017;
1,511;GII;Gill (uk);Es Unidad de volumen inglesa en el sistema imperial y en los Estados Unidos. La versión imperial usada en el UK es de 5 onzas líquidas, y es equivalente a 142.0653125 ml; mientras que en los EUA es de 4 onzas líquidas, y es equivalente a 118.29411825 ml.;1/1/2017;1/1/2017;gi (UK)
1,512;GIP;Grama, incluido el embalaje interior;Unidad de masa que define el número de gramos de un producto, incluyendo sus materiales de envasado interior.;1/1/2017;1/1/2017;
1,513;GRO;Gross;Unidad de conteo que define el número de unidades en múltiplos de 144 (12 x 12).;1/1/2017;1/1/2017;gr
1,514;H21;Blanco;Unidad de conteo que define el número de blancos;1/1/2017;1/1/2017;
1,515;H25;Por ciento por kelvin;Unidad de proporción, igual a 0,01, en relación con la unidad de base SI Kelvin.;1/1/2017;1/1/2017;%/K
1,516;H71;Por ciento al mes;Unidad de proporción, igual a 0,01, en relación a un mes.;1/1/2017;1/1/2017;%/mo
1,517;H72;Por ciento por hectobar;Unidad de proporción, igual a 0,01, en relación con 100 veces la barra unitaria;1/1/2017;1/1/2017;%/hbar
1,518;H73;Por ciento por decakelvin;Unidad de proporción, igual a 0,01, en relación con 10 veces la unidad de base SI Kelvin;1/1/2017;1/1/2017;%/daK
1,519;H77;Anchura del módulo;Unidad de medida utilizada para describir la anchura de los conjuntos electrónicos como una norma de instalación o una dimensión de montaje.;1/1/2017;1/1/2017;MW
