ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;NOMBRE;DESCRIPCION;NOTA;FECHAINICIO;FECHAFIN;SIMBOLO;BANDERA
120;S;22.01.2022 07:49;;22.01.2022 07:49;;XEE;Estuche, con pallet base de madera;;;01.06.2021;;;Embalaje
121;S;22.01.2022 07:49;;22.01.2022 07:49;;XEF;Estuche, con pallet base de cartón;;;01.06.2021;;;Embalaje
122;S;22.01.2022 07:49;;22.01.2022 07:49;;XEG;Estuche, con pallet base de plástico;;;01.06.2021;;;Embalaje
123;S;22.01.2022 07:49;;22.01.2022 07:49;;XEH;Estuche, con pallet base de metal;;;01.06.2021;;;Embalaje
124;S;22.01.2022 07:49;;22.01.2022 07:49;;XEI;Estuche isotérmico;;;01.06.2021;;;Embalaje
125;S;22.01.2022 07:49;;22.01.2022 07:49;;XEN;Sobre;;;01.06.2021;;;Embalaje
126;S;22.01.2022 07:49;;22.01.2022 07:49;;XFB;Bolsa flexible;Bolsa de contención flexible hecha de plástico, usado típicamente para el transporte de mercancías no peligrosas a granel, que usan contenedores de transporte de tamaño estándar.;;01.06.2021;;;Embalaje
127;S;22.01.2022 07:49;;22.01.2022 07:49;;XFC;Cajón para fruta;;;01.06.2021;;;Embalaje
128;S;22.01.2022 07:49;;22.01.2022 07:49;;XFD;Cajón enmarcado;;;01.06.2021;;;Embalaje
129;S;22.01.2022 07:49;;22.01.2022 07:49;;XFE;Tanque flexible;Contenedor flexible de plástico, usado típicamente para el transporte de cargas no peligrosas a granel usando contenedores de transporte de tamaño estándar.;;01.06.2021;;;Embalaje
130;S;22.01.2022 07:49;;22.01.2022 07:49;;XFI;Firkin;Barril de 41 litros;;01.06.2021;;;Embalaje
131;S;22.01.2022 07:49;;22.01.2022 07:49;;XFL;Matraz;;;01.06.2021;;;Embalaje
132;S;22.01.2022 07:49;;22.01.2022 07:49;;XFO;Cajón para zapatos;;;01.06.2021;;;Embalaje
133;S;22.01.2022 07:49;;22.01.2022 07:49;;XFP;Caja auxiliar para película fotográfica;;;01.06.2021;;;Embalaje
134;S;22.01.2022 07:49;;22.01.2022 07:49;;XFR;Marco;;;01.06.2021;;;Embalaje
135;S;22.01.2022 07:49;;22.01.2022 07:49;;XFT;Contenedor para alimentos;;;01.06.2021;;;Embalaje
136;S;22.01.2022 07:49;;22.01.2022 07:49;;XFW;Carro de cama plana;Módulo con ruedas en el que las bandejas u otros artículos de forma regular se empacan para fines de transporte.;;01.06.2021;;;Embalaje
137;S;22.01.2022 07:49;;22.01.2022 07:49;;XFX;Bolsa flexible tipo contenedor;;;01.06.2021;;;Embalaje
138;S;22.01.2022 07:49;;22.01.2022 07:49;;XGB;Botella para gas;Cilindro metálico de cuello estrecho para la retención de gas licuado o comprimido.;;01.06.2021;;;Embalaje
139;S;22.01.2022 07:49;;22.01.2022 07:49;;XGI;Viga;;;01.06.2021;;;Embalaje
140;S;22.01.2022 07:49;;22.01.2022 07:49;;XGL;Contenedor tipo galón;Contenedor con una capacidad de un galón.;;01.06.2021;;;Embalaje
141;S;22.01.2022 07:49;;22.01.2022 07:49;;XGR;Recipiente de vidrio;Recipiente de contención de vidrio para retener sustancias o artículos.;;01.06.2021;;;Embalaje
142;S;22.01.2022 07:49;;22.01.2022 07:49;;XGU;Bandeja contenedor para apilar horizontalmente objetos planos;Bandeja para contiene objetos planos apilados uno encima del otro.;;01.06.2021;;;Embalaje
143;S;22.01.2022 07:49;;22.01.2022 07:49;;XGY;Costal de Yute;Hecho de yute, usado para transportar mercancías gruesas, tales como granos, patatas, y otros productos agrícolas.;;01.06.2021;;;Embalaje
144;S;22.01.2022 07:49;;22.01.2022 07:49;;XGZ;Vigas con correas o agrupadas;;;01.06.2021;;;Embalaje
145;S;22.01.2022 07:49;;22.01.2022 07:49;;XHA;Cesta con mango y de plástico;;;01.06.2021;;;Embalaje
146;S;22.01.2022 07:49;;22.01.2022 07:49;;XHB;Cesta con mango y de madera;;;01.06.2021;;;Embalaje
147;S;22.01.2022 07:49;;22.01.2022 07:49;;XHC;Cesta  con asa y de  cartón;;;01.06.2021;;;Embalaje
148;S;22.01.2022 07:49;;22.01.2022 07:49;;XHG;Hogshead;Barril de 1/4 de tonel;;01.06.2021;;;Embalaje
149;S;22.01.2022 07:49;;22.01.2022 07:49;;XHN;Gancho;Artefacto, cuya forma con un gancho en la parte superior, tiene el propósito de colgar artículos de un carril.;;01.06.2021;;;Embalaje
150;S;22.01.2022 07:49;;22.01.2022 07:49;;XHR;Cesto;;;01.06.2021;;;Embalaje
151;S;22.01.2022 07:49;;22.01.2022 07:49;;XIA;Paquete con pantalla y de madera;;;01.06.2021;;;Embalaje
152;S;22.01.2022 07:49;;22.01.2022 07:49;;XIB;Paquete  con pantalla y de cartón;;;01.06.2021;;;Embalaje
153;S;22.01.2022 07:49;;22.01.2022 07:49;;XIC;Paquete con pantalla y de plástico;;;01.06.2021;;;Embalaje
154;S;22.01.2022 07:49;;22.01.2022 07:49;;XID;Paquete con pantalla y de metal;;;01.06.2021;;;Embalaje
155;S;22.01.2022 07:49;;22.01.2022 07:49;;XIE;Paquete de mostrador.;;;01.06.2021;;;Embalaje
156;S;22.01.2022 07:49;;22.01.2022 07:49;;XIF;Envase para alimentos;Envase flexible tubular o de piel, posiblemente transparente, a menudo utilizado para contener alimentos (por ejemplo salami).;;01.06.2021;;;Embalaje
157;S;22.01.2022 07:49;;22.01.2022 07:49;;XIG;Paquete envuelto en papel;;;01.06.2021;;;Embalaje
158;S;22.01.2022 07:49;;22.01.2022 07:49;;XIH;Tambor de plástico;;;01.06.2021;;;Embalaje
159;S;22.01.2022 07:49;;22.01.2022 07:49;;XIK;Paquete de cartón con los agujeros para botellas;Material de empaque realizado en cartón que facilita la separación de botellas individuales de vidrio o plástico.;;01.06.2021;;;Embalaje
160;S;22.01.2022 07:49;;22.01.2022 07:49;;XIL;Bandeja rígida con tapa y apilable (CEN TS 14482: 2002);Bandeja rígida apilable empotrada compatible con CEN TS 14482: 2002.;;01.06.2021;;;Embalaje
161;S;22.01.2022 07:49;;22.01.2022 07:49;;XIN;Lingote;;;01.06.2021;;;Embalaje
162;S;22.01.2022 07:49;;22.01.2022 07:49;;XIZ;Lingotes  con correas/ agrupados;;;01.06.2021;;;Embalaje
163;S;22.01.2022 07:49;;22.01.2022 07:49;;XJB;Bolsa jumbo;Bolsa de contención flexible, ampliamente utilizada para almacenamiento, transporte y manipulación de materiales en polvo, escamas o granulares. Típicamente construido a partir de tejido de polipropileno (PP) tejido en forma de bolsas cúbicas.;;01.06.2021;;;Embalaje
164;S;22.01.2022 07:49;;22.01.2022 07:49;;XJC;Bidón rectangular;;;01.06.2021;;;Embalaje
165;S;22.01.2022 07:49;;22.01.2022 07:49;;XJG;Jarra;;;01.06.2021;;;Embalaje
166;S;22.01.2022 07:49;;22.01.2022 07:49;;XJR;Tarro;;;01.06.2021;;;Embalaje
167;S;22.01.2022 07:49;;22.01.2022 07:49;;XJT;Bolsa de yute;;;01.06.2021;;;Embalaje
168;S;22.01.2022 07:49;;22.01.2022 07:49;;XJY;Bidón, cilíndrico;;;01.06.2021;;;Embalaje
169;S;22.01.2022 07:49;;22.01.2022 07:49;;XKG;Barrilete;;;01.06.2021;;;Embalaje
170;S;22.01.2022 07:49;;22.01.2022 07:49;;XKI;Kit (Conjunto de piezas);Conjunto de artículos o implementos utilizados para un propósito específico.;;01.06.2021;;;Embalaje
171;S;22.01.2022 07:49;;22.01.2022 07:49;;XLE;Valijas;Colección de bolsas, cajas y / o contenedores que contienen objetos personales para un viaje.;;01.06.2021;;;Embalaje
172;S;22.01.2022 07:49;;22.01.2022 07:49;;XLG;Bitácora;;;01.06.2021;;;Embalaje
173;S;22.01.2022 07:49;;22.01.2022 07:49;;XLT;Lote;;;01.06.2021;;;Embalaje
174;S;22.01.2022 07:49;;22.01.2022 07:49;;XLU;Caja de arrastre;Caja de madera para el transporte y almacenamiento de frutas y verduras.;;01.06.2021;;;Embalaje
175;S;22.01.2022 07:49;;22.01.2022 07:49;;XLV;Contenedor pequeño;Contenedor de madera o metal, usado para empacar artículos de uso doméstico y personales.;;01.06.2021;;;Embalaje
176;S;22.01.2022 07:49;;22.01.2022 07:49;;XLZ;Registros  con fleje/ agrupados/ armados;;;01.06.2021;;;Embalaje
177;S;22.01.2022 07:49;;22.01.2022 07:49;;XMA;Cajón metálico;Caja de contención hecha de metal para retener sustancias o artículos.;;01.06.2021;;;Embalaje
178;S;22.01.2022 07:49;;22.01.2022 07:49;;XMB;Múltiplo de bolsas;;;01.06.2021;;;Embalaje
179;S;22.01.2022 07:49;;22.01.2022 07:49;;XMC;Cajón para leche;;;01.06.2021;;;Embalaje
180;S;22.01.2022 07:49;;22.01.2022 07:49;;XME;Contenedor de metal;Tipo de caja de contención hecha de metal para retener sustancias o artículos, no especificado de otro modo como equipo de transporte.;;01.06.2021;;;Embalaje
181;S;22.01.2022 07:49;;22.01.2022 07:49;;XMR;Recipiente de metal;Recipiente de contención de metal para retener sustancias o artículos.;;01.06.2021;;;Embalaje
182;S;22.01.2022 07:49;;22.01.2022 07:49;;XMS;Saco milti-pared;;;01.06.2021;;;Embalaje
183;S;22.01.2022 07:49;;22.01.2022 07:49;;XMT;Tapete;;;01.06.2021;;;Embalaje
184;S;22.01.2022 07:49;;22.01.2022 07:49;;XMW;Contenedor envuelto en plástico;Recipiente de contención envuelto en plástico para retener sustancias o artículos.;;01.06.2021;;;Embalaje
185;S;22.01.2022 07:49;;22.01.2022 07:49;;XMX;Caja pequeña de cerillos;;;01.06.2021;;;Embalaje
