id;sat_clave;sat_descripcion;sat_formatocp;sat_formatorit;sat_validacionrit;sat_agrupaciones
150;MYT;Mayotte;null;null;null;null
151;MEX;Mi©xico;[0-9]{5};[A-Z&i‘]{3,4}[0-9]{2}(0[1-9]|1[012])(0[1-9]|[12][0-9]|3[01])[A-Z0-9]{2}[0-9A];Lista del SAT;TLCAN
152;FSM;Micronesia (los Estados Federados de);null;null;null;null
153;MDA;Moldavia (la Republica de);null;null;null;null
154;MCO;Monaco;null;null;null;null
155;MNG;Mongolia;null;null;null;null
156;MNE;Montenegro;null;null;null;null
157;MSR;Montserrat;null;null;null;null
158;MOZ;Mozambique;null;null;null;null
159;NAM;Namibia;null;null;null;null
160;NRU;Nauru;null;null;null;null
161;NPL;Nepal;null;null;null;null
162;NIC;Nicaragua;null;null;null;null
163;NER;Niger (el);null;null;null;null
164;NGA;Nigeria;null;null;null;null
165;NIU;Niue;null;null;null;null
166;NOR;Noruega;null;null;null;null
167;NCL;Nueva Caledonia;null;null;null;null
168;NZL;Nueva Zelanda;null;null;null;null
169;OMN;Oman;null;null;null;null
170;NLD;Paises Bajos (los);null;null;null;Union Europea
171;PAK;Pakistan;null;null;null;null
172;PLW;Palaos;null;null;null;null
173;PSE;Palestina, Estado de;null;null;null;null
174;PAN;Panama;null;null;null;null
175;PNG;Papua Nueva Guinea;null;null;null;null
176;PRY;Paraguay;null;null;null;null
177;PER;Peru;null;null;null;null
178;PYF;Polinesia Francesa;null;null;null;null
179;POL;Polonia;null;null;null;Union Europea
180;PRT;Portugal;null;null;null;Union Europea
181;PRI;Puerto Rico;null;null;null;null
182;GBR;Reino Unido (el);null;null;null;Union Europea
183;CAF;Republica Centroafricana (la);null;null;null;null
184;CZE;Republica Checa (la);null;null;null;Union Europea
185;MKD;Macedonia (la antigua Republica Yugoslava de);null;null;null;null
186;COG;Congo;null;null;null;null
187;COD;Congo (la Republica Democratica del);null;null;null;null
188;DOM;Republica Dominicana (la);null;null;null;null
189;REU;Reunion;null;null;null;null
190;RWA;Ruanda;null;null;null;null
191;ROU;Rumania;null;null;null;Union Europea
192;RUS;Rusia, (la) Federacion de;null;null;null;null
193;ESH;Sahara Occidental;null;null;null;null
194;WSM;Samoa;null;null;null;null
195;ASM;Samoa Americana;null;null;null;null
196;BLM;San Bartolomi©;null;null;null;null
197;KNA;San Cristobal y Nieves;null;null;null;null
198;SMR;San Marino;null;null;null;null
199;MAF;San Martin (parte francesa);null;null;null;null
200;SPM;San Pedro y Miquelon;null;null;null;null
201;VCT;San Vicente y las Granadinas;null;null;null;null
202;SHN;Santa Helena, Ascension y Tristan de Acuña;null;null;null;null
203;LCA;Santa Lucia;null;null;null;null
204;STP;Santo Tomi© y Principe;null;null;null;null
205;SEN;Senegal;null;null;null;null
206;SRB;Serbia;null;null;null;null
207;SYC;Seychelles;null;null;null;null
208;SLE;Sierra leona;null;null;null;null
209;SGP;Singapur;null;null;null;null
210;SXM;Sint Maarten (parte holandesa);null;null;null;null
211;SYR;Siria, (la) Republica irabe;null;null;null;null
212;SOM;Somalia;null;null;null;null
213;LKA;Sri Lanka;null;null;null;null
214;SWZ;Suazilandia;null;null;null;null
215;ZAF;Sudafrica;null;null;null;null
216;SDN;Sudan (el);null;null;null;null
217;SSD;Sudan del Sur;null;null;null;null
218;SWE;Suecia;null;null;null;Union Europea
219;CHE;Suiza;null;null;null;null
220;SUR;Surinam;null;null;null;null
221;SJM;Svalbard y Jan Mayen;null;null;null;null
222;THA;Tailandia;null;null;null;null
223;TWN;Taiwan (Provincia de China);null;null;null;null
224;TZA;Tanzania, Republica Unida de;null;null;null;null
225;TJK;Tayikistan;null;null;null;null
226;IOT;Territorio Britanico del Oci©ano indico (el);null;null;null;null
227;ATF;Territorios Australes Franceses (los);null;null;null;null
228;TLS;Timor-Leste;null;null;null;null
229;TGO;Togo;null;null;null;null
230;TKL;Tokelau;null;null;null;null
231;TON;Tonga;null;null;null;null
232;TTO;Trinidad y Tobago;null;null;null;null
233;TUN;Tunez;null;null;null;null
234;TKM;Turkmenistan;null;null;null;null
235;TUR;Turquia;null;null;null;null
236;TUV;Tuvalu;null;null;null;null
237;UKR;Ucrania;null;null;null;null
238;UGA;Uganda;null;null;null;null
239;URY;Uruguay;null;null;null;null
240;UZB;Uzbekistan;null;null;null;null
241;VUT;Vanuatu;null;null;null;null
242;VAT;Santa Sede[Estado de la Ciudad del Vaticano] (la);null;null;null;null
243;VEN;Venezuela, Republica Bolivariana de;null;null;null;null
244;VNM;Viet Nam;null;null;null;null
245;WLF;Wallis y Futuna;null;null;null;null
246;YEM;Yemen;null;null;null;null
247;DJI;Yibuti;null;null;null;null
248;ZMB;Zambia;null;null;null;null
249;ZWE;Zimbabue;null;null;null;null
250;ZZZ;Paises no declarados;null;null;null;null
